t,pe,ke,te,q1,q2
1.660000,-0.647677,0.647677,-0.000000,-1.007045,-3.135413
1.670000,-0.725717,0.725717,-0.000000,-0.945008,-3.220239
1.680000,-0.804987,0.804987,-0.000000,-0.879013,-3.309137
1.690000,-0.884277,0.884277,-0.000000,-0.809274,-3.402046
1.700000,-0.962275,0.962275,-0.000000,-0.736035,-3.498903
1.710000,-1.037599,1.037599,-0.000000,-0.659574,-3.599643
1.720000,-1.108832,1.108832,-0.000000,-0.580194,-3.704198
1.730000,-1.174575,1.174575,-0.000000,-0.498225,-3.812491
1.740000,-1.233498,1.233498,-0.000000,-0.414017,-3.924434
1.750000,-1.284385,1.284385,-0.000000,-0.327932,-4.039923
1.760000,-1.326191,1.326191,-0.000000,-0.240342,-4.158831
1.770000,-1.358072,1.358072,-0.000000,-0.151622,-4.281004
1.780000,-1.379424,1.379424,-0.000000,-0.062143,-4.406254
1.790000,-1.389897,1.389897,-0.000000,0.027727,-4.534354
1.800000,-1.389403,1.389403,-0.000000,0.117629,-4.665033
1.810000,-1.378115,1.378115,-0.000000,0.207210,-4.797966
1.820000,-1.356453,1.356453,-0.000000,0.296124,-4.932777
1.830000,-1.325066,1.325066,-0.000000,0.384025,-5.069031
1.840000,-1.284810,1.284810,-0.000000,0.470569,-5.206236
1.850000,-1.236719,1.236719,-0.000000,0.555409,-5.343848
1.860000,-1.181976,1.181976,-0.000000,0.638196,-5.481273
1.870000,-1.121873,1.121873,-0.000000,0.718576,-5.617884
1.880000,-1.057774,1.057774,-0.000000,0.796197,-5.753037
1.890000,-0.991077,0.991077,-0.000000,0.870714,-5.886088
1.900000,-0.923162,0.923162,-0.000000,0.941793,-6.016414
1.910000,-0.855359,0.855359,-0.000000,1.009123,-6.143440
1.920000,-0.788903,0.788903,-0.000000,1.072418,-6.266647
1.930000,-0.724914,0.724914,-0.000000,1.131424,-6.385592
1.940000,-0.664370,0.664370,-0.000000,1.185923,-6.499910
1.950000,-0.608104,0.608104,-0.000000,1.235731,-6.609314
1.960000,-0.556802,0.556802,-0.000000,1.280698,-6.713591
1.970000,-0.511014,0.511014,-0.000000,1.320701,-6.812591
1.980000,-0.471167,0.471167,-0.000000,1.355647,-6.906216
1.990000,-0.437582,0.437582,-0.000000,1.385461,-6.994410
2.000000,-0.410494,0.410494,-0.000000,1.410086,-7.077145
2.010000,-0.390067,0.390067,-0.000000,1.429481,-7.154411
2.020000,-0.376414,0.376414,-0.000000,1.443611,-7.226212
2.030000,-0.369604,0.369604,-0.000000,1.452451,-7.292549
2.040000,-0.369681,0.369681,-0.000000,1.455983,-7.353426
2.050000,-0.376662,0.376662,-0.000000,1.454193,-7.408837
2.060000,-0.390544,0.390544,-0.000000,1.447073,-7.458770
2.070000,-0.411306,0.411306,-0.000000,1.434619,-7.503203
2.080000,-0.438897,0.438897,-0.000000,1.416833,-7.542101
2.090000,-0.473237,0.473237,-0.000000,1.393723,-7.575422
2.100000,-0.514199,0.514199,-0.000000,1.365308,-7.603116
2.110000,-0.561597,0.561597,-0.000000,1.331614,-7.625125
2.120000,-0.615167,0.615167,-0.000000,1.292681,-7.641389
2.130000,-0.674551,0.674551,-0.000000,1.248563,-7.651847
2.140000,-0.739271,0.739271,-0.000000,1.199331,-7.656440
2.150000,-0.808716,0.808716,-0.000000,1.145076,-7.655117
2.160000,-0.882117,0.882117,-0.000000,1.085914,-7.647840
2.170000,-0.958540,0.958540,-0.000000,1.021983,-7.634587
2.180000,-1.036872,1.036872,-0.000000,0.953452,-7.615359
2.190000,-1.115827,1.115827,-0.000000,0.880517,-7.590184
2.200000,-1.193953,1.193953,-0.000000,0.803411,-7.559127
2.210000,-1.269662,1.269662,-0.000000,0.722396,-7.522291
2.220000,-1.341260,1.341260,-0.000000,0.637770,-7.479828
2.230000,-1.407004,1.407004,-0.000000,0.549866,-7.431943
2.240000,-1.465157,1.465157,-0.000000,0.459049,-7.378896
2.250000,-1.514064,1.514064,-0.000000,0.365716,-7.321012
2.260000,-1.552227,1.552227,-0.000000,0.270291,-7.258681
2.270000,-1.578373,1.578373,-0.000000,0.173225,-7.192357
2.280000,-1.591531,1.591531,-0.000000,0.074991,-7.122560
2.290000,-1.591082,1.591082,-0.000000,-0.023923,-7.049868
2.300000,-1.576797,1.576797,-0.000000,-0.123020,-6.974912
2.310000,-1.548859,1.548859,-0.000000,-0.221795,-6.898365
2.320000,-1.507853,1.507853,-0.000000,-0.319749,-6.820928
2.330000,-1.454734,1.454734,-0.000000,-0.416393,-6.743317
2.340000,-1.390780,1.390780,-0.000000,-0.511252,-6.666241
2.350000,-1.317524,1.317524,-0.000000,-0.603878,-6.590391
2.360000,-1.236676,1.236676,-0.000000,-0.693850,-6.516421
2.370000,-1.150040,1.150040,-0.000000,-0.780784,-6.444932
2.380000,-1.059437,1.059437,-0.000000,-0.864333,-6.376469
2.390000,-0.966637,0.966637,-0.000000,-0.944190,-6.311503
2.400000,-0.873300,0.873300,-0.000000,-1.020091,-6.250440
2.410000,-0.780934,0.780934,-0.000000,-1.091810,-6.193610
2.420000,-0.690870,0.690870,-0.000000,-1.159160,-6.141278
2.430000,-0.604246,0.604246,-0.000000,-1.221989,-6.093648
2.440000,-0.522007,0.522007,-0.000000,-1.280177,-6.050865
2.450000,-0.444917,0.444917,-0.000000,-1.333632,-6.013031
2.460000,-0.373573,0.373573,-0.000000,-1.382284,-5.980207
2.470000,-0.308423,0.308423,-0.000000,-1.426084,-5.952423
2.480000,-0.249793,0.249793,-0.000000,-1.465000,-5.929688
2.490000,-0.197907,0.197907,-0.000000,-1.499011,-5.911993
2.500000,-0.152909,0.152909,-0.000000,-1.528105,-5.899317
2.510000,-0.114883,0.114883,-0.000000,-1.552278,-5.891637
2.520000,-0.083875,0.083875,-0.000000,-1.571528,-5.888926
2.530000,-0.059901,0.059901,-0.000000,-1.585859,-5.891160
2.540000,-0.042963,0.042963,-0.000000,-1.595274,-5.898320
2.550000,-0.033060,0.033060,-0.000000,-1.599774,-5.910393
2.560000,-0.030187,0.030187,-0.000000,-1.599361,-5.927370
2.570000,-0.034346,0.034346,-0.000000,-1.594037,-5.949254
2.580000,-0.045540,0.045540,-0.000000,-1.583800,-5.976049
2.590000,-0.063770,0.063770,-0.000000,-1.568650,-6.007766
2.600000,-0.089033,0.089033,-0.000000,-1.548586,-6.044419
2.610000,-0.121307,0.121307,-0.000000,-1.523607,-6.086016
2.620000,-0.160544,0.160544,-0.000000,-1.493721,-6.132563
2.630000,-0.206648,0.206648,-0.000000,-1.458936,-6.184053
2.640000,-0.259464,0.259464,-0.000000,-1.419272,-6.240461
2.650000,-0.318752,0.318752,-0.000000,-1.374761,-6.301738
2.660000,-0.384170,0.384170,-0.000000,-1.325447,-6.367802
2.670000,-0.455249,0.455249,-0.000000,-1.271396,-6.438534
2.680000,-0.531375,0.531375,-0.000000,-1.212695,-6.513766
2.690000,-0.611769,0.611769,-0.000000,-1.149455,-6.593275
2.700000,-0.695478,0.695478,-0.000000,-1.081817,-6.676783
2.710000,-0.781370,0.781370,-0.000000,-1.009950,-6.763948
2.720000,-0.868141,0.868141,-0.000000,-0.934059,-6.854370
2.730000,-0.954326,0.954326,-0.000000,-0.854375,-6.947586
2.740000,-1.038336,1.038336,-0.000000,-0.771166,-7.043086
2.750000,-1.118492,1.118492,-0.000000,-0.684726,-7.140312
2.760000,-1.193081,1.193081,-0.000000,-0.595379,-7.238678
2.770000,-1.260410,1.260410,-0.000000,-0.503475,-7.337575
2.780000,-1.318880,1.318880,-0.000000,-0.409386,-7.436388
2.790000,-1.367043,1.367043,-0.000000,-0.313505,-7.534511
2.800000,-1.403678,1.403678,-0.000000,-0.216244,-7.631350
2.810000,-1.427840,1.427840,-0.000000,-0.118028,-7.726344
2.820000,-1.438914,1.438914,-0.000000,-0.019296,-7.818966
2.830000,-1.436648,1.436648,-0.000000,0.079505,-7.908728
2.840000,-1.421164,1.421164,-0.000000,0.177925,-7.995193
2.850000,-1.392961,1.392961,-0.000000,0.275512,-8.077969
2.860000,-1.352884,1.352884,-0.000000,0.371823,-8.156714
2.870000,-1.302088,1.302088,-0.000000,0.466422,-8.231132
2.880000,-1.241979,1.241979,-0.000000,0.558893,-8.300975
